Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /profiles/,56,0,18,19.97503571393671,16.37299999856623,55.18570000276668,2.0,0.966251366333866,0.0,18,19,21,21,24,27,38,55,55,55,55
GET,GET /profiles/?skill_ids,39,0,20,21.701182051634905,17.230199999175966,43.20929999812506,2.0,0.6729250586967995,0.0,20,20,23,23,28,43,43,43,43,43,43
GET,GET /roles,52,0,22,28.10846153764802,18.953799997689202,110.56459999963408,441.0,0.8972334115957327,0.0,23,25,29,32,41,61,92,110,110,110,110
GET,GET /skills,46,0,22,24.618445652500352,18.739500002993736,45.97150000336114,661.0,0.7937064794885327,0.0,23,26,27,30,32,36,46,46,46,46,46
GET,GET /teams/,66,0,18,20.055992424617713,15.979399999196175,52.8686999969068,2.0,1.138796253179199,0.0,18,19,21,21,24,25,41,53,53,53,53
GET,GET /teams/?skill_ids,40,0,19,19.450337500529713,16.399799998907838,25.07379999588011,2.0,0.6901795473813328,0.0,19,20,20,20,22,25,25,25,25,25,25
,Aggregated,299,0,20,22.276741137166848,15.979399999196175,110.56459999963408,179.73244147157192,5.159092116675462,0.0,20,21,23,24,29,38,49,61,110,110,110
